1972-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.373,-9999,-9999,-9999,-9999,18.476,-9999,3.754,19.413,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,21.679,-9999,-9999,-9999,-9999,18.355,-9999,10.881,-9999,-9999,-9999,6.758,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.194,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.068,-9999,-9999,-9999,-9999,-9999,13.074,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.157,-9999,-9999,9.535,16.377,17.387,18.497,17.383,-9999,14.471,19.526,-9999,-9999,-9999,-9999,22.239,-9999,-9999,-9999,16.672,-9999,-9999,13.025,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.487,11.839,-9999,11.287,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.826,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.0,-9999,-9999,-9999,-9999,-9999,12.032,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.271,-9999,15.961,-9999,12.408,13.16,11.354,10.465,10.458,9.974,9.463,9.229,8.716,8.045,6.655,5.153,6.984,6.904,5.055,4.952,-2.22,13.367,19.632,12.518,-9999,13.02,11.21,-9999,-9999,-9999,-9999,-9999,-9999
1972-11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.75,21.59,-9999,18.804,-9999,-9999,-9999,-9999,-9999,-9999,21.155,-9999,-9999,-9999,-9999,18.867,-9999,11.633,-9999,-9999,-9999,7.93,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.707,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.34,-9999,-9999,-9999,-9999,-9999,15.353,-9999,17.37,-9999,-9999,-9999,-9999,-9999,-9999,17.36,-9999,-9999,11.153,18.183,18.117,21.21,17.686,-9999,15.55,-9999,-9999,-9999,-9999,-9999,22.15,-9999,-9999,-9999,17.893,-9999,-9999,15.397,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.904,15.36,-9999,14.933,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.763,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,14.528,-9999,15.977,-9999,-9999,-9999,15.987,-9999,-9999,11.276,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.603,-9999,16.889,-9999,-9999,15.631,-9999,14.393,13.44,13.01,12.13,12.562,11.734,12.837,11.87,10.167,12.7,12.65,9.203,8.717,-0.993,13.914,20.847,15.654,-9999,14.207,13.227,-9999,-9999,12.926,-9999,-9999,-9999
1972-12,-9999,-9999,-9999,-9999,-9999,-9999,12.389,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24.742,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20.38,-9999,13.665,-9999,-9999,-9999,8.931,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17.143,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,21.197,-9999,-9999,-9999,-9999,21.584,-9999,-9999,-9999,-9999,-9999,17.174,-9999,20.971,-9999,-9999,-9999,-9999,-9999,-9999,22.593,-9999,-9999,19.261,21.642,22.052,24.661,21.794,-9999,20.193,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,21.886,-9999,-9999,20.993,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,21.374,20.426,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.832,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.219,-9999,15.894,-9999,-9999,-9999,19.542,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,21.803,-9999,19.877,-9999,-9999,20.41,-9999,18.348,16.06,15.283,13.859,14.617,14.014,13.471,13.397,11.626,14.206,13.952,10.223,9.945,1.383,15.347,21.696,20.63,-9999,17.98,-9999,-9999,-9999,14.663,14.335,-9999,-9999
1973-01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,26.171,22.352,7.813,27.443,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,21.866,-9999,14.081,-9999,-9999,-9999,9.821,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.27,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,21.41,-9999,-9999,-9999,-9999,23.253,-9999,-9999,-9999,-9999,-9999,18.423,-9999,21.18,-9999,-9999,-9999,-9999,-9999,-9999,23.479,-9999,-9999,14.632,22.352,23.103,26.639,22.526,-9999,20.594,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.055,-9999,-9999,21.729,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,21.487,20.226,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.76,-9999,-9999,-9999,-9999,-9999,18.765,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,23.706,-9999,21.58,-9999,17.471,21.714,19.845,18.652,15.974,14.777,14.65,14.252,13.314,12.113,12.094,10.347,13.89,12.269,9.552,8.319,0.229,16.381,23.532,21.413,-9999,18.587,-9999,-9999,-9999,13.032,12.942,-9999,-9999
1973-02,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,27.346,23.296,4.517,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,23.063,-9999,-9999,-9999,-9999,21.786,-9999,13.53,-9999,-9999,-9999,8.689,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17.15,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20.919,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17.714,-9999,19.52,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.808,21.046,21.639,24.75,-9999,-9999,18.961,-9999,-9999,-9999,-9999,-9999,20.4,-9999,-9999,-9999,17.7,-9999,-9999,19.569,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.186,-9999,17.454,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.908,17.65,-9999,15.492,-9999,-9999,-9999,19.396,-9999,-9999,14.65,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,23.964,-9999,20.546,-9999,16.696,19.05,18.236,17.607,15.325,14.464,14.726,14.127,12.9,12.832,12.9,10.979,14.158,12.912,10.196,8.675,1.304,15.454,23.771,18.714,-9999,17.946,-9999,-9999,-9999,14.146,14.05,-9999,-9999
1973-03,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,26.161,21.997,-9999,25.929,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,22.82,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.632,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20.529,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.597,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,21.252,-9999,-9999,-9999,19.206,20.284,22.019,20.071,-9999,17.965,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.858,-9999,-9999,18.297,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17.4,16.489,-9999,15.861,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,14.348,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.042,-9999,12.545,-9999,-9999,-9999,17.958,-9999,-9999,13.787,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,21.084,-9999,18.303,-9999,15.379,16.98,16.245,15.852,13.555,13.663,-9999,12.89,12.326,12.361,12.529,10.294,11.877,12.136,8.668,8.239,0.248,13.513,22.574,16.726,-9999,17.661,13.293,-9999,-9999,13.353,13.46,-9999,-9999
1973-04,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,21.83,19.155,-9999,23.35,16.61,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17.877,-9999,-9999,-9999,-9999,-9999,6.43,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,14.873,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.587,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.61,-9999,18.89,-9999,-9999,-9999,-9999,-9999,-9999,20.355,-9999,-9999,15.78,16.533,17.273,18.07,17.517,-9999,15.575,17.793,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.21,-9999,-9999,14.79,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,14.034,12.897,-9999,11.683,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.997,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.786,-9999,9.603,-9999,-9999,-9999,14.32,-9999,-9999,10.043,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.467,-9999,16.37,-9999,13.817,13.622,12.757,11.467,11.317,10.559,-9999,10.713,10.207,9.163,7.99,6.037,3.64,6.367,4.39,3.5,-2.443,11.87,22.043,13.38,-9999,15.65,11.58,-9999,-9999,-9999,9.147,-9999,-9999
1973-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.429,17.481,-9999,20.279,15.561,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.523,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,13.113,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17.361,-9999,-9999,-9999,-9999,16.268,-9999,-9999,-9999,-9999,-9999,14.897,-9999,17.361,14.11,-9999,-9999,-9999,-9999,-9999,17.603,-9999,-9999,14.565,14.665,15.084,15.039,16.145,-9999,13.281,17.181,-9999,-9999,-9999,-9999,16.048,-9999,-9999,-9999,13.48,-9999,-9999,12.397,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.013,9.429,-9999,8.36,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.059,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.603,-9999,6.135,-9999,-9999,-9999,11.17,-9999,-9999,8.439,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.543,-9999,14.881,-9999,12.452,11.1,9.535,8.948,9.606,8.613,8.69,8.61,-9999,5.887,3.9,2.268,2.661,2.974,3.139,3.377,-5.666,10.045,20.91,10.897,-9999,15.17,10.865,-9999,-9999,-9999,5.284,-9999,-9999
1973-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17.567,17.59,-9999,19.783,14.462,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.343,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.353,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.152,-9999,-9999,-9999,-9999,15.96,-9999,-9999,-9999,-9999,-9999,14.367,-9999,16.29,14.01,-9999,-9999,-9999,-9999,-9999,14.363,-9999,-9999,12.25,12.783,12.873,12.153,12.9,-9999,10.623,17.527,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.633,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.657,7.521,-9999,6.272,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.236,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.078,-9999,4.387,-9999,-9999,-9999,9.383,-9999,-9999,5.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.69,-9999,14.166,-9999,11.331,8.186,7.767,8.093,8.79,7.796,7.846,7.707,7.041,4.907,3.61,1.957,3.6,2.197,0.537,-0.08,-9.027,7.347,19.462,7.707,-9999,13.507,9.953,-9999,-9999,-9999,4.413,-9999,-9999
1973-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.247,15.367,-9999,19.207,15.694,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.225,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.687,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,13.91,-9999,-9999,-9999,-9999,15.481,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.713,12.87,-9999,-9999,-9999,-9999,-9999,14.884,-9999,-9999,13.761,11.739,12.455,11.481,11.716,-9999,9.6,16.358,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.668,-9999,-9999,7.773,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.848,7.352,-9999,5.327,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.516,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.4,-9999,4.223,-9999,-9999,-9999,7.616,-9999,-9999,4.043,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.167,-9999,12.619,-9999,10.047,7.642,6.648,6.213,7.361,5.97,5.106,4.919,4.897,3.5,1.086,-0.465,1.797,1.706,-1.063,-0.506,-7.172,8.148,19.01,7.61,-9999,12.027,8.49,-9999,-9999,-9999,2.617,-9999,-9999
1973-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.055,-9999,19.523,15.113,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,13.484,-9999,-9999,-9999,-9999,-9999,2.226,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.571,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.973,-9999,-9999,-9999,-9999,15.09,-9999,-9999,-9999,-9999,-9999,10.59,-9999,17.319,-9999,-9999,-9999,-9999,-9999,-9999,15.455,-9999,-9999,17.168,12.3,13.355,12.594,12.831,-9999,10.103,13.043,-9999,-9999,-9999,-9999,13.832,-9999,-9999,-9999,11.719,-9999,-9999,9.593,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.346,8.415,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.221,-9999,4.904,-9999,-9999,-9999,8.252,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,14.937,-9999,12.765,-9999,9.765,8.768,7.119,7.232,8.119,7.497,6.862,6.558,6.45,5.59,4.484,2.432,3.51,3.384,2.723,2.61,-5.12,7.884,18.319,8.245,-9999,12.368,8.387,-9999,-9999,-9999,5.427,-9999,-9999
1973-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.667,-9999,21.023,16.687,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.863,-9999,-9999,-9999,-9999,16.383,-9999,9.51,-9999,-9999,-9999,4.507,-9999,-9999,-9999,-9999,-9999,10.433,-9999,-9999,-9999,14.217,-9999,14.42,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20.403,-9999,-9999,-9999,-9999,15.597,-9999,-9999,-9999,-9999,-9999,11.033,-9999,17.74,-9999,-9999,-9999,-9999,-9999,-9999,15.143,-9999,-9999,18.267,13.507,14.613,14.22,13.31,-9999,11.183,16.243,-9999,-9999,-9999,-9999,12.937,-9999,-9999,-9999,12.22,-9999,-9999,11.597,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.757,9.69,-9999,8.221,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.961,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.441,-9999,7.719,-9999,-9999,-9999,9.79,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.169,-9999,13.317,-9999,10.247,10.247,9.221,8.59,8.183,7.738,7.486,7.5,6.747,6.563,5.66,3.703,4.937,5.497,4.143,4.05,-5.583,10.787,18.103,10.003,-9999,11.88,-9999,-9999,-9999,-9999,6.23,-9999,-9999
1973-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,21.81,16.494,-9999,-9999,-9999,-9999,-9999,-9999,-9999,21.456,-9999,-9999,-9999,-9999,-9999,-9999,9.771,-9999,-9999,-9999,5.489,-9999,-9999,-9999,-9999,-9999,11.055,-9999,-9999,-9999,14.845,-9999,15.206,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,21.259,-9999,-9999,-9999,-9999,18.003,-9999,-9999,-9999,-9999,-9999,12.67,-9999,18.974,-9999,-9999,-9999,-9999,-9999,-9999,17.581,-9999,-9999,20.497,15.255,16.806,16.339,14.246,-9999,12.529,18.093,-9999,-9999,-9999,-9999,14.855,-9999,-9999,-9999,13.494,-9999,-9999,13.003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.93,11.158,-9999,10.158,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.916,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.077,-9999,9.935,-9999,-9999,-9999,11.568,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.016,-9999,13.906,-9999,12.071,12.797,12.039,11.374,11.148,10.2,9.574,9.29,8.745,9.065,7.906,6.265,9.4,8.619,6.565,6.374,-2.082,11.865,19.168,12.652,-9999,12.777,-9999,-9999,-9999,-9999,8.939,-9999,-9999
1973-11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,23.946,16.537,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.057,-9999,-9999,-9999,7.053,-9999,-9999,-9999,-9999,-9999,12.787,-9999,-9999,-9999,16.621,-9999,17.59,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,23.327,-9999,-9999,-9999,-9999,19.246,-9999,-9999,-9999,-9999,-9999,13.228,-9999,21.818,16.404,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,21.587,17.187,18.963,19.673,18.462,-9999,16.423,20.311,-9999,-9999,-9999,-9999,18.77,-9999,-9999,-9999,-9999,-9999,-9999,17.639,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.253,15.521,-9999,13.752,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.104,-9999,-9999,-9999,-9999,13.67,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,14.557,-9999,12.47,-9999,-9999,-9999,14.579,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17.718,-9999,15.756,-9999,12.95,16.924,15.39,14.433,12.645,11.817,11.87,11.677,10.88,11.163,10.463,9.243,13.06,10.723,7.753,6.61,-0.748,13.643,20.723,16.621,-9999,14.067,11.93,-9999,-9999,-9999,11.834,-9999,-9999
1973-12,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.074,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.597,-9999,-9999,-9999,-9999,-9999,10.842,-9999,-9999,-9999,7.529,5.945,-9999,-9999,-9999,-9999,11.887,-9999,-9999,20.616,-9999,-9999,17.377,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,23.19,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,14.406,-9999,22.4,18.158,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,23.297,18.642,20.532,21.855,18.317,-9999,18.345,20.061,-9999,-9999,-9999,-9999,18.035,-9999,-9999,-9999,-9999,-9999,-9999,19.026,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.126,18.281,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17.723,-9999,-9999,-9999,-9999,14.634,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17.55,17.343,-9999,15.59,-9999,-9999,-9999,16.882,-9999,-9999,14.39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.387,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.145,-9999,16.974,-9999,14.19,18.545,18.461,17.326,14.577,13.917,13.906,13.426,12.171,12.935,12.435,10.887,15.161,12.677,9.855,8.477,0.752,13.155,21.69,18.216,-9999,15.81,13.548,-9999,-9999,-9999,13.93,-9999,-9999
