codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca,inicio_observaciones,fin_observaciones,cantidad_observaciones
05703002,DGA,dga_web,Rio Yeso En Embalse El Yeso,2475,-33.6667,-70.0833,57,Rio Maipo,570,Rio Maipo Alto (Hasta Despues Junta Rio Colorado),1945-10-01,1978-06-01,192
05737005,DGA,dga_web,Rio Mapocho En El Monte,0,-33.6778,-70.9725,57,Rio Maipo,573,Rio Mapocho Bajo (Entre E De Las Rosas Y R Maipo),1947-06-01,1952-09-01,41
05740001,DGA,dga_web,Rio Maipo En Chignigue (Juncal),200,-33.6969,-71.0969,57,Rio Maipo,574,Rio Maipo Bajo (Entre Rio Mapocho Y Desembocadura),1976-12-01,1977-06-01,3
05748001,DGA,dga_web,Rio Maipo En Cabimbao,35,-33.7219,-71.555,57,Rio Maipo,574,Rio Maipo Bajo (Entre Rio Mapocho Y Desembocadura),1939-05-01,2016-04-01,468
05717005,DGA,dga_web,Rio Maipo En Naltahua,300,-33.7256,-70.9161,57,Rio Maipo,571,Rio Maipo Medio (Despues Colorado Antes Mapocho),1948-07-01,1960-01-01,122
05704002,DGA,dga_web,Rio Maipo En San Alfonso,1092,-33.7347,-70.3008,57,Rio Maipo,570,Rio Maipo Alto,1942-03-01,2016-04-01,794
05740002,DGA,dga_web,Canal Maipo En Chocalan,0,-33.75,-71.25,57,Rio Maipo,574,Rio Maipo Bajo (Entre Rio Mapocho Y Desembocadura),1930-01-01,1930-06-01,6
05703004,DGA,dga_web,Rio Yeso En Manzanito,0,-33.7525,-70.1611,57,Rio Maipo,570,Rio Maipo Alto (Hasta Despues Junta Rio Colorado),1943-12-01,1951-06-01,91
05704001,DGA,dga_web,Rio Maipo En El Ingenio,0,-33.7667,-70.2667,57,Rio Maipo,570,Rio Maipo Alto (Hasta Despues Junta Rio Colorado),1930-01-01,1940-06-01,117
05717003,DGA,dga_web,Rio Maipo En El Rosario,345,-33.7667,-70.9167,57,Rio Maipo,571,Rio Maipo Medio (Despues Colorado Antes Mapocho),1963-04-01,1972-07-01,83
05703003,DGA,dga_web,Rio Yeso Antes Junta Rio Maipo,1250,-33.7864,-70.2117,57,Rio Maipo,570,Rio Maipo Alto (Hasta Despues Junta Rio Colorado),1931-02-01,1958-08-01,213
05717002,DGA,dga_web,Rio Maipo En Isla De Maipo,0,-33.8,-70.9167,57,Rio Maipo,571,Rio Maipo Medio (Despues Colorado Antes Mapocho),1930-01-01,1930-08-01,8
05702001,DGA,dga_web,Rio Volcan En Queltehues,1365,-33.8056,-70.2089,57,Rio Maipo,570,Rio Maipo Alto,1930-01-01,2015-09-01,792
05716001,DGA,dga_web,Rio Angostura En Valdivia De Paine,342,-33.8111,-70.8836,57,Rio Maipo,571,Rio Maipo Medio,1981-06-01,2015-06-01,408
