codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca,inicio_observaciones,fin_observaciones,cantidad_observaciones
520006,DMC,dmc_merge,Punta Arenas,38,-53.0033,-70.845,125,Costeras Entre Lag.  Blanca(Inc) Seno Otway Canal Jeronimo Y Magallanes,1258,Costeras E Islas Orientales De La Peninsula Brunswick,1950-02-01,2016-04-01,771
550001,DMC,dmc_merge,Guardia Marina Zanartu Pto Williams Ad.,10,-54.9317,-67.6156,129,Islas Al Sur Del Canal Beagle Y Territorio Antartico,1293,Islas Navarino Y Gable,1959-08-01,2016-04-01,615
950001,DMC,dmc_merge,Eduardo Frei Montalva Antartica,1,-62.1997,-58.9642,-1,No Disponible,-1,No Disponible,1970-01-01,2016-04-01,556
220002,DMC,dmc_web,El Loa Calama Ad.,2293,-22.4953,-69.9044,20,Fronterizas Salar Michincha-R.Loa,200,Salar De Ollague,1967-01-01,2016-04-01,572
270001,DMC,dmc_web,Mataveri Isla De Pascua Ap.,48,-27.1606,-109.427,50,Costeras Quilimari-Petorca,500,Costeras Quilimari - Petorca,1954-07-01,2016-04-01,725
330021,DMC,dmc_web,Pudahuel Santiago,482,-33.3919,-70.7944,57,Rio Maipo,573,Mapocho Bajo,1966-02-01,2016-04-01,590
330019,DMC,dmc_web,Eulogio Sanchez Tobalaba Ad.,650,-33.4544,-70.5478,57,Rio Maipo,573,Mapocho Bajo,1954-11-01,2016-04-01,572
330031,DMC,dmc_web,Juan Fernandez Estacion Meteorologica,35,-33.6367,-78.835,50,Costeras Quilimari-Petorca,500,Costeras Quilimari - Petorca,1963-04-01,2016-04-01,625
330030,DMC,dmc_web,Santo Domingo Ad.,75,-33.655,-71.6142,50,Costeras Quilimari-Petorca,500,Costeras Quilimari - Petorca,1966-08-01,2016-04-01,590
370033,DMC,dmc_web,Maria Dolores Los Angeles Ad.,120,-37.4028,-72.4225,81,Rio Itata,810,Nuble Alto,1952-01-01,2016-04-01,325
420004,DMC,dmc_web,Chaiten Ad.,10,-42.9303,-72.7008,104,Cuencas E Islas Entre R.Bueno Y R. Puelo,1040,Costeras Entre Rio Bueno Y Rio Maullin,1965-11-01,2008-04-01,394
430002,DMC,dmc_web,Futaleufu Ad.,347,-43.1889,-71.8525,104,Cuencas E Islas Entre R.Bueno Y R. Puelo,1040,Costeras Entre Rio Bueno Y Rio Maullin,1954-01-01,2016-04-01,682
430004,DMC,dmc_web,Alto Palenaad.,281,-43.6117,-71.8053,104,Cuencas E Islas Entre R.Bueno Y R. Puelo,1040,Costeras Entre Rio Bueno Y Rio Maullin,1961-12-01,2016-04-01,587
510005,DMC,dmc_web,Teniente Gallardo Puerto Natales Ad.,69,-51.6672,-72.5289,122,Costeras Entre Seno Andrew Y R. Hollemberg E Islas Al Oriente,1229,Costeras Entre Rio Serrano Y Rio Hollenberg,1999-01-01,2016-04-01,116
530005,DMC,dmc_web,Fuentes Martinez Porvenir Ad.,27,-53.1875,-70.3203,128,Tierra Del Fuego,1280,Costeras Del Estrecho Magallanes Entre Frontera Y Cabo Monmouth,1985-04-01,2016-04-01,341
